cust_id,Customer_Acc,Stated_Occupation,Account_Type,Age,Account_Tenure_Months,Balance,Average_Balance
cust_46976531,acc_40461083496759,General Office Clerks,TDT,39,76,6126,5268
cust_39324282,acc_86003098595846,SHIP ENGINEER,STDT,11,48,1356,983
cust_91498218,acc_53431525772856,MEDICAL DOCTOR,GIA,82,141,8697,7907
cust_43341373,acc_79176483051344,Sales Workers Not Elsewhere Classif,iGain,55,154,7666,6718
cust_16870886,acc_86681396519305,Rental of personal and household goods,TDT,38,216,45780,41162
cust_81611197,acc_55431233461314,SHIP ENGINEER,GIA AWFAR,55,94,17702,15969
cust_27052422,acc_91859701948421,Household,iGain,10,60,4773,3915
cust_51664651,acc_62841154648328,"OTHER COMMUNITY, SOCIAL & PERSONAL",iGain,49,223,2677,2462
cust_21692935,acc_86524686895034,ENGINEER,STDT,56,163,53266,49004
cust_71783038,acc_40653171603237,"Skilled Agricultural, Forestry, Livestock and Fishery Workers",WAFIYAH,40,185,2640,2311
cust_52813443,acc_54893526267833,CLERICAL,GIA AWFAR,84,110,76204,64355
cust_30421841,acc_57826993690411,Managing Directors and Chief Executives,TDT,32,110,36953,31499
cust_60804990,acc_19448174430646,Human Health and Social Work Activities,TDT,22,96,45981,39274
cust_70283259,acc_45869725603138,FINANCIAL INTERMEDIATION,TDT,57,181,74657,63189
cust_94627548,acc_92560390529650,ENGINEER,WAFIYAH,89,54,23861,18398
cust_49343672,acc_66774901632826,NURSE,IHSAN,43,235,8535,7535
cust_24461934,acc_25975592419327,Professional Gov Social Benefit Off,GIA AWFAR,14,46,3690,2842
cust_84941037,acc_40497007204864,"OTHER COMMUNITY, SOCIAL & PERSONAL",Al-AWFAR,97,113,57983,51415
cust_66678787,acc_27244270869642,Other non-scheduled passenger land,TDT,49,79,21499,17644
cust_73023859,acc_12234081861871,FIRE FIGHTER,STDT,25,156,147922,134680
cust_18750397,acc_93471441265362,Managing Directors and Chief Executives,STDT,65,165,27603,25286
cust_38112997,acc_50338659543118,"Sales, Marketing & Public Relations",GIA,38,221,27085,23719
cust_79105952,acc_37678156517870,CLERICAL,iGain,94,191,29531,26060
cust_84903382,acc_63862947240196,Household,GIA AWFAR,36,63,18355,13847
cust_49169500,acc_10658301066371,(blank),IHSAN,59,53,1091,808
cust_82428792,acc_35021989594073,EDUCATION,TDT,58,214,73776,64648
cust_85752268,acc_73273011912900,Secondary Education Teachers,GIA,31,120,21926,19351
cust_44873054,acc_67039279576233,Rental of personal and household goods,IHSAN,54,28,978,605
cust_90827886,acc_98362535278828,"Librarians, Archivists and Curators",IHSAN,19,199,1699,1499
cust_35949529,acc_65832193869223,Craft and Related Trades Workers,Al-AWFAR,67,158,8664,7419
cust_31560200,acc_52975528626495,STEWARD/STEWARDESS,IHSAN,78,11,4982,2490
cust_71424595,acc_78528930686560,(blank),iGain,95,189,60223,54796
cust_67308564,acc_91299508476764,Economists,STDT,39,148,193172,174445
cust_22577723,acc_74862635204651,Human Health and Social Work Activities,GIA AWFAR,35,150,70451,62831
cust_84946307,acc_96689010119444,DOCTOR,IHSAN,59,209,6614,5635
cust_27991738,acc_80380465366435,ARCHITECT,Al-AWFAR,72,121,6556,5653
cust_82440920,acc_88012129443573,SELF-EMPLOYED,GIA,99,113,92279,79724
cust_10662604,acc_20269366406527,RECEPTIONIST,TDT,12,150,899,790
cust_81715832,acc_75917215269440,(blank),GIA AWFAR,31,51,13753,10574
cust_80823193,acc_49607982957463,CHILDREN BELOW AGE,Al-AWFAR,33,40,72485,55212
cust_80232788,acc_59779342217014,Transport via railways (MRS),IHSAN,32,204,12119,11149
cust_69836577,acc_68869216853412,"EDUCATION, HEALTH AND OTHERS",GIA,51,55,14044,10547
cust_52441042,acc_97283360503501,Primary School & Early Childhood Teachers,GIA,88,124,49693,44862
cust_73464884,acc_98612027328846,Oth biz serv n.e.c,IHSAN,12,68,2802,2342
cust_34940946,acc_35940542093911,Extra-Territorial Organisations and,WAFIYAH,83,59,6588,5066
cust_80265612,acc_76037814769412,Optometrists and Ophthalmic Opticians,TDT,65,146,5761,5276
cust_60008226,acc_77498518414174,FINANCIAL INTERMEDIATION,TDT,65,194,3303,2948
cust_51302419,acc_41184357518174,Language Teachers,GIA AWFAR,71,109,51843,43085
cust_55504562,acc_21148279737779,Sales Workers Not Elsewhere Classif,iGain,20,37,10389,7447
cust_61186707,acc_13685226425714,EDITOR/WRITER,STDT,77,62,56529,45689
cust_13353608,acc_79960881477626,"Retail trade,except of motor",IHSAN,32,43,1107,804
cust_22581729,acc_54072976763521,Other non-scheduled passenger land,IHSAN,56,213,15948,14311
cust_32093304,acc_98698615254543,Building Architects,STDT,70,80,78428,64218
cust_20307706,acc_51847611057428,COMPUTER PROGRAMMER,Al-AWFAR,64,93,55241,48433
cust_49565221,acc_98012528116645,"Skilled Agricultural, Forestry, Livestock and Fishery Workers",IHSAN,39,21,748,442
cust_70156266,acc_47041840197465,"FINANCE, INSURANCE, REAL ESTATE AND",TDT,45,110,19903,17496
cust_68898597,acc_81431393550397,Manufacture of Other Non-metallic,WAFIYAH,52,220,45914,41758
cust_52398658,acc_17633734508064,University and Higher Education Teacher,STDT,13,101,4344,3614
cust_86957200,acc_59991553912398,Landscape Architects,TDT,75,158,4108,3558
cust_60871249,acc_82185380828715,Secondary Education Teachers,TDT,18,47,5317,3726
cust_17127766,acc_93223150049789,Hospitality & Rel Services Professi,TDT,51,38,5474,3971
cust_78849897,acc_84032478155568,LAWYER/SOLICITOR,GIA AWFAR,68,177,38179,32818
cust_61714056,acc_13327365448105,FINANCIAL INTERMEDIATION,TDT,17,20,791,465
cust_67124648,acc_43543210717606,CHILDREN BELOW AGE,STDT,99,110,30287,26810
cust_60883599,acc_14382862508246,CHILDREN BELOW AGE,WAFIYAH,43,79,21879,18745
cust_59822146,acc_19835406200310,Other service activities,iGain,11,8,2432,1029
cust_18150978,acc_70777506580073,Cooks,GIA,69,130,15913,14054
cust_60328644,acc_74193237668052,Dentists,Al-AWFAR,60,232,25474,23436
cust_81542135,acc_79634861447646,ARCHITECT,GIA,67,21,9093,5847
cust_37355508,acc_87891089325009,Police Officers,GIA AWFAR,77,197,19384,17833
cust_64255441,acc_76548832162885,"EDUCATION, HEALTH AND OTHERS",Al-AWFAR,52,132,4193,3757
cust_12773605,acc_82078443289596,"Retail trade,except of motor",iGain,84,175,2006,1736
cust_41274928,acc_14406733884095,ACADEMICIANS,iGain,43,27,11484,7599
cust_49304565,acc_31108163539716,General Office Clerks,Al-AWFAR,59,210,2309,2063
cust_98446455,acc_65970799603772,Professional Gov Social Benefit Off,GIA AWFAR,24,7,22652,10510
cust_29312620,acc_87231277416234,Physical & Engineering Scien Technicians,STDT,65,219,197325,173598
cust_34889349,acc_10405011244569,Religious Teachers,TDT,33,160,59206,52595
cust_46767577,acc_56316640790471,COMPUTER PROGRAMMER,TDT,72,84,4422,3765
cust_99339905,acc_70955865942795,CLERK,GIA,82,6,14351,6340
cust_86806276,acc_12664656021575,Ships Deck Officers and Pilots,GIA,87,149,24207,21932
cust_13122366,acc_46122000179804,ARCHITECT,WAFIYAH,93,25,45067,27399
cust_31054553,acc_90607139324532,Optometrists and Ophthalmic Opticians,GIA AWFAR,21,148,110731,94197
cust_83950700,acc_70445152797027,MANUFACTURE OF TEXTILES,GIA,22,187,7681,7066
cust_15247246,acc_31389252702453,Telecommunication,IHSAN,93,68,791,685
cust_87010376,acc_86750301666872,Service and Sales Workers,Al-AWFAR,44,61,9305,7559
cust_35324550,acc_41322828106856,AUDITOR,Al-AWFAR,12,57,5880,4394
cust_92588691,acc_86801020402965,"PUBLIC ADMINISTRATION & DEFENSE,",STDT,35,58,147361,113024
cust_36423438,acc_36904928600701,"Sales, Marketing & Public Relations",GIA,85,31,7204,4918
cust_49088512,acc_63128822579483,EDUCATION,WAFIYAH,41,63,16640,14055
cust_69572486,acc_45724606097305,"MANUFACTURE OF WEARING APPAREL, DRE",WAFIYAH,16,160,2684,2300
cust_21365266,acc_34734254567956,FIRE FIGHTER,Al-AWFAR,74,76,25136,20854
cust_60132893,acc_89790180595468,Personal Services Workers Not Elwhe,GIA,27,189,112890,101938
cust_55451394,acc_26883431374554,TANNING&DRESSING OF LEATHER;MFR OF,STDT,41,198,48717,44819
cust_80550838,acc_17633043211218,BANKER,WAFIYAH,10,184,2717,2408
cust_99649621,acc_40773424469109,Transport via railways (MRS),GIA AWFAR,64,132,56707,47578
cust_69788218,acc_74587523287741,WAITER/WAITRESS,GIA AWFAR,50,79,34002,29151
cust_46826779,acc_82668844537865,Pharmacists,STDT,88,224,122548,112744
cust_46574817,acc_99886903306008,ENGINEER,GIA AWFAR,40,53,27721,21382
cust_47616287,acc_36672585131004,Optometrists and Ophthalmic Opticians,Al-AWFAR,28,114,50430,44831
cust_83261834,acc_46714775601815,Police Officers,GIA AWFAR,24,112,22704,19554
cust_38909415,acc_22313915022666,Language Teachers,GIA AWFAR,28,180,16030,13960
cust_25027562,acc_61738473666073,Managers,WAFIYAH,50,134,6196,5684
cust_40086229,acc_99782203353662,NON-EXECUTIVE,Al-AWFAR,17,193,970,881
cust_12044086,acc_73079290910859,Managing Directors and Chief Executives,Al-AWFAR,46,221,5645,5156
cust_19552832,acc_63569155637203,Physical & Engineering Scien Technicians,WAFIYAH,86,97,22836,20732
cust_18104307,acc_45313218362961,Religious Teachers,GIA AWFAR,79,211,15315,13274
cust_79439717,acc_92376888425699,FIRE FIGHTER,IHSAN,67,45,754,547
cust_75012341,acc_54722493651731,SELF-EMPLOYED,iGain,90,221,3259,2944
cust_72709371,acc_22093022198175,Transport via railways (MRS),IHSAN,80,47,665,488
cust_51568950,acc_42884061687922,Scheduled air transport,STDT,68,205,144545,132981
cust_74535266,acc_16045000196299,ARCHITECT,GIA AWFAR,87,97,169170,145014
cust_24514460,acc_28178113391990,"MANUFACTURE OF WEARING APPAREL, DRE",GIA,21,232,5858,5092
cust_91055951,acc_11590190289992,TEACHER/LECTURER,IHSAN,83,35,8257,5729
cust_55094029,acc_50795192485014,"Retail trade,except of motor",TDT,36,114,30341,26758
cust_94424625,acc_67108623845661,PENSIONER,Al-AWFAR,75,217,79093,72765
cust_23708089,acc_40896321614101,System Analysts,GIA AWFAR,92,16,28353,15853
cust_54759706,acc_47834359435474,Other Agriculture,WAFIYAH,54,67,5734,4749
cust_72668833,acc_96328834556011,Administrative Associate Profession,IHSAN,17,24,1714,1075
cust_54606328,acc_77676680941742,Aircraft Pilots & Related Professionals,STDT,43,80,137939,115144
cust_50154064,acc_58677097325045,Managing Directors and Chief Executives,Al-AWFAR,46,97,29398,24733
cust_24959268,acc_35608678760064,Physical & Engineering Scien Technicians,STDT,94,151,50891,45820
cust_44291910,acc_90729711889569,DENTIST,IHSAN,94,65,1233,985
cust_31488963,acc_31158740519259,Actors,TDT,61,42,29228,22760
cust_37136088,acc_39280845746500,Personal Services Workers Not Elwhe,GIA,95,45,91457,71582
cust_71533059,acc_91815833298065,SEAMSTRESS,WAFIYAH,49,226,8746,8028
cust_66725433,acc_57658784975656,Other non-scheduled passenger land,WAFIYAH,47,229,23561,21450
cust_64647678,acc_76808615447617,ARCHITECT,GIA AWFAR,85,57,33166,26017
cust_42563134,acc_63167031474738,"FORESTRY, LOGGING AND RELATED SERVI",GIA,70,51,25456,18551
cust_96372332,acc_68809528810854,Craft and Related Trades Workers,GIA AWFAR,57,17,48187,26528
cust_17888492,acc_36944496236334,Other Agriculture,iGain,51,231,34980,31556
cust_40833169,acc_31723485546399,Optometrists and Ophthalmic Opticians,TDT,73,171,73630,66423
cust_20620531,acc_39024311245179,SHIP ENGINEER,TDT,77,184,10304,9384
cust_40504942,acc_23989740767508,ACCOUNTANT,GIA,54,73,16019,13700
cust_96570789,acc_88688292876172,Human Health and Social Work Activities,STDT,12,156,7851,6846
cust_42963718,acc_35492223992510,Real estate activities,GIA,19,19,7884,4376
cust_91772262,acc_60534045497294,Household,WAFIYAH,22,164,5981,5502
cust_54555909,acc_81277698262723,ENGINEER,Al-AWFAR,51,141,2751,2509
cust_72973642,acc_80544169843814,Real estate activities,WAFIYAH,65,83,9696,8081
cust_51167573,acc_49454763272577,COMPANY DIRECTOR,WAFIYAH,82,172,3708,3308
cust_33928296,acc_52863157772805,Personal Services Workers Not Elwhe,TDT,30,157,7179,6388
cust_78780650,acc_99523157404152,PENSIONER,Al-AWFAR,80,108,37361,32637
cust_97225873,acc_70713772928112,Pharmacists,GIA AWFAR,69,49,20891,16152
cust_33717237,acc_83317459880609,ACADEMICIANS,STDT,14,10,5004,2669
cust_80087581,acc_91229857229730,Rental of personal and household goods,GIA,41,226,107184,96965
cust_33502600,acc_80883085260640,"Librarians, Archivists and Curators",IHSAN,37,71,4050,3415
cust_74520117,acc_26666141045821,TECHNICIAN,STDT,89,76,24780,19412
cust_81010590,acc_60595366036381,PHARMACIST,iGain,92,165,7135,6277
cust_50442535,acc_19170474158309,PHARMACIST,STDT,83,65,69219,58590
cust_76322763,acc_68762991390759,BANKER,iGain,57,93,12963,11284
cust_34501740,acc_95981448536902,PHARMACIST,GIA,54,172,8289,7007
cust_17132816,acc_56145885787010,Hospitality & Rel Services Professi,Al-AWFAR,38,145,10396,9464
cust_18675186,acc_48967524358099,DOCTOR VETERINAR,STDT,79,159,61237,56338
cust_50232134,acc_13225847627634,Aircraft Pilots & Related Professionals,GIA AWFAR,17,6,1490,572
cust_91234215,acc_96379707009629,"Retail trade,except of motor",IHSAN,34,111,4790,4406
cust_21481916,acc_19270241571714,"Music, Arts and Performing Arts Teachers",IHSAN,22,117,647,536
cust_51019866,acc_13697118397436,NON-EXECUTIVE,TDT,54,154,6924,6370
cust_73362885,acc_32145995035444,Other Agriculture,STDT,36,40,120463,86574
cust_28212702,acc_15897739052654,PENSIONER,GIA AWFAR,27,42,21744,14758
cust_74945475,acc_50960605817058,Dentists,GIA AWFAR,43,184,61286,55774
cust_37536096,acc_56447902113140,Dentists,IHSAN,87,163,2270,2088
cust_82779467,acc_38131295412572,"Skilled Agricultural, Forestry, Livestock and Fishery Workers",TDT,60,196,6428,5840
cust_62129761,acc_14586443431739,Optometrists and Ophthalmic Opticians,IHSAN,84,68,14680,12248
cust_59221654,acc_20044033142430,EDITOR/WRITER,iGain,92,240,7096,6293
cust_25909550,acc_44605394019093,Professionals,GIA,91,69,11184,8601
cust_51688531,acc_15447560574388,MEDICAL DOCTOR,GIA AWFAR,41,158,152416,139297
cust_87095285,acc_72837075304892,MEDICAL DOCTOR,GIA AWFAR,88,43,93433,73197
cust_11757159,acc_28631848737233,AUDITOR,iGain,91,221,24738,22758
cust_78266757,acc_37186441190527,Elementary Occupations,IHSAN,96,83,600,477
cust_54348615,acc_45471319946028,CONSULTANT,GIA AWFAR,41,194,14815,12622
cust_74751666,acc_47494866976223,DENTIST,GIA AWFAR,30,83,67687,55488
cust_69696821,acc_10149463690732,ARCHITECT,GIA AWFAR,62,191,18727,15908
cust_48888373,acc_20086333389882,EXECUTIVE,GIA,93,112,10771,9444
cust_37780048,acc_87648810736679,"FORESTRY, LOGGING AND RELATED SERVI",TDT,91,19,35423,20805
cust_66457795,acc_10110975626071,NURSE,Al-AWFAR,61,49,5743,4112
cust_22620184,acc_55735062023158,Financial and Investment Advisers,Al-AWFAR,23,166,2604,2390
cust_62568817,acc_54055180585648,FIRE FIGHTER,Al-AWFAR,48,50,2287,1785
cust_18522522,acc_39978474490957,"PUBLIC ADMINISTRATION & DEFENSE,",TDT,74,69,10259,8234
cust_68486194,acc_48819431813180,(blank),GIA AWFAR,60,132,63520,55946
cust_66587075,acc_80252302377392,Human Health and Social Work Activities,GIA AWFAR,41,64,135036,102228
cust_17599988,acc_85708333559346,Administrative Associate Profession,GIA AWFAR,40,35,13936,9504
cust_78173910,acc_33431368907372,Managing Directors and Chief Executives,GIA AWFAR,15,152,3914,3491
cust_47422666,acc_39024139687095,Religious Teachers,IHSAN,35,167,3532,3177
cust_80819781,acc_31823456772549,COMPANY DIRECTOR,STDT,70,177,38521,34951
cust_13745275,acc_53187706049595,Other service activities,IHSAN,31,227,2967,2689
cust_26151084,acc_71493252189293,Rental of personal and household goods,GIA,99,34,115882,78588
cust_54459173,acc_30542758791707,LAWYER/SOLICITOR,GIA,17,105,1622,1425
cust_26940265,acc_39766216784937,Aircraft Pilots & Related Professionals,GIA AWFAR,62,60,34681,28652
cust_39687509,acc_93734615583023,STEWARD/STEWARDESS,iGain,54,217,76943,68926
cust_69453913,acc_14371236086226,Religious Professionals,STDT,84,132,17760,15903
cust_23007176,acc_51469264471560,"EDUCATION, HEALTH AND OTHERS",TDT,89,28,62279,39966
cust_70993264,acc_74040223743710,Aircraft Pilots & Related Professionals,GIA AWFAR,58,168,44945,39345
cust_19306267,acc_23540861040172,"Plant and Machine Operators, and Assemblers",TDT,66,15,12827,7094
cust_25766666,acc_14263661800493,EDUCATION,IHSAN,72,69,14999,12035
cust_62888011,acc_22438483447467,Actors,STDT,56,175,55822,50648
cust_81413491,acc_92694087417761,Engineering Prof(incl Electrotechno,iGain,26,124,10080,8903
cust_25353367,acc_10833380363901,Other service activities,STDT,48,184,30383,26966
cust_36999351,acc_26948977733021,Professional Police Inspector & Det,TDT,31,139,22727,19967
cust_93260810,acc_12815516161148,"MANUFACTURE OF WEARING APPAREL, DRE",GIA AWFAR,51,203,55098,48640
cust_99071532,acc_19956652080598,"OTHER COMMUNITY, SOCIAL & PERSONAL",IHSAN,65,137,1103,924
cust_62295502,acc_65813435796546,SEAMSTRESS,iGain,28,18,27390,15828
cust_50233433,acc_31747501786517,CLERK,IHSAN,32,21,5383,3229
cust_41218282,acc_61229084538760,TECHNICIAN,iGain,84,188,8662,7969
cust_65120672,acc_63117584448951,Optometrists and Ophthalmic Opticians,WAFIYAH,43,14,2032,1038
cust_63182394,acc_86449179978080,CONSULTANT,iGain,27,93,10388,9437
cust_36527773,acc_10426725362068,EXECUTIVE,Al-AWFAR,74,8,2045,916
cust_12052348,acc_86803251340813,Manufacture of Other Non-metallic,TDT,74,76,2637,2128
cust_23634847,acc_65720717778427,MFR OF WOOD&PRODS OF WOOD&CORK EXCE,GIA,84,145,21630,18610
cust_96270329,acc_24646913749446,GENERAL WORKER,Al-AWFAR,78,45,2705,1873
cust_47633942,acc_79564364932175,Other service activities,IHSAN,99,114,1383,1272
cust_53407309,acc_86994238761152,FINANCIAL INTERMEDIATION,iGain,61,240,22450,20654
cust_52039679,acc_32883713537874,EDUCATION,WAFIYAH,35,21,6245,3816
cust_80446170,acc_92691431281241,Religious Teachers,iGain,87,20,79309,44218
cust_15846090,acc_50901168726879,Managing Directors and Chief Executives,iGain,33,69,58751,51060
cust_17445699,acc_64308200889998,CLERICAL,GIA AWFAR,36,200,57745,51238
cust_34826252,acc_98618458025587,"MANUFACTURE OF WEARING APPAREL, DRE",IHSAN,84,100,17705,15186
cust_53799249,acc_42538247077527,"FINANCE, INSURANCE, REAL ESTATE AND",TDT,89,155,49166,45232
cust_70401163,acc_83184341123810,"OTHER COMMUNITY, SOCIAL & PERSONAL",Al-AWFAR,40,12,6486,3409
cust_54163629,acc_38655920604561,Managers,IHSAN,75,178,7944,7308
cust_49705126,acc_81929217001734,Administrative Associate Profession,TDT,93,20,3313,1960
cust_94404380,acc_64066052697637,COMPUTER PROGRAMMER,TDT,81,172,24990,22077
cust_24491704,acc_29472012570286,MEDICAL DOCTOR,Al-AWFAR,10,39,3598,2502
cust_61455524,acc_47262348441031,Other non-scheduled passenger land,iGain,69,207,2128,1805
cust_58802020,acc_38587207092720,DOCTOR,IHSAN,25,74,1376,1130
cust_52614046,acc_17029755377232,Motor Vehicle Mechanics and Repaire,IHSAN,86,48,16966,13392
cust_82683769,acc_12685129308972,"EDUCATION, HEALTH AND OTHERS",GIA AWFAR,16,84,1250,1080
cust_34027809,acc_41183078986646,Personal Services Workers Not Elwhe,WAFIYAH,99,5,3906,1648
cust_95839557,acc_11713073303573,Renting of machinery&equipment w/o,GIA,25,43,9462,6657
cust_39841209,acc_24893898182359,Household,IHSAN,47,146,2930,2629
cust_59050403,acc_75266498876578,Service and Sales Workers,WAFIYAH,31,75,44774,38590
cust_56860516,acc_73728211211522,OTHERS,iGain,83,88,32767,28349
cust_86480010,acc_76472234781164,Household,WAFIYAH,45,195,10022,9045
cust_49502031,acc_38543785401698,EDUCATION,iGain,77,34,4320,2860
cust_35610306,acc_90101751140592,Primary School & Early Childhood Teachers,iGain,16,98,2370,2108
cust_11945087,acc_63444749322560,PILOT,STDT,50,48,49719,35052
cust_42731042,acc_21342370757196,HOTELS AND RESTAURANTS,STDT,91,118,123784,110259
cust_84366273,acc_22934679530998,"MANUFACTURE OF WEARING APPAREL, DRE",iGain,93,83,29517,26422
cust_10892457,acc_72378588423673,RECEPTIONIST,GIA AWFAR,28,15,34010,16738
cust_90654469,acc_25564954279787,Physical & Engineering Scien Technicians,IHSAN,45,21,4487,2628
cust_58854438,acc_55656343142383,"MANUFACTURE OF WEARING APPAREL, DRE",iGain,46,206,10000,8979
cust_22622417,acc_99259702833583,"Music, Arts and Performing Arts Teachers",GIA AWFAR,60,18,56666,31309
cust_37196139,acc_10360684426000,Transport via railways (MRS),TDT,58,189,13495,12415
cust_59863252,acc_11492182170780,"MANUFACTURE OF WEARING APPAREL, DRE",Al-AWFAR,19,221,24662,22516
cust_38412295,acc_99377612373745,OTHERS,iGain,78,114,13016,11472
cust_19771816,acc_62617495072074,Professionals,IHSAN,30,78,16066,13831
cust_69938999,acc_21421897796666,EXECUTIVE,WAFIYAH,38,188,9701,8706
cust_70501608,acc_90757197977868,Engineering Prof(incl Electrotechno,Al-AWFAR,85,236,2120,1950
cust_20698682,acc_89234227011492,SECRETARY,Al-AWFAR,72,33,4783,3274
cust_35311040,acc_58258037180023,"EDUCATION, HEALTH AND OTHERS",GIA AWFAR,45,232,44804,40546
cust_31948592,acc_65961282687468,Rental of personal and household goods,TDT,92,227,14693,12474
cust_69348037,acc_34586847235078,SECRETARY,Al-AWFAR,45,38,15348,10625
